[Build.BRAND]: [MTK]
[persist.vendor.aeev.db.count]: [4]
[persist.vendor.aeev.fatal_db.count]: [4]
[persist.vendor.aeev.have_swt]: [0]
[persist.vendor.aeev.last.boot.reason]: [shutdown,userrequested]
[persist.vendor.aeev.log.status]: [1]
[persist.vendor.aeev.mini.dump]: [disable]
[persist.vendor.aeev.slog_dump]: [0]
[persist.vendor.audiohal.besloudness_state]: [0]
[persist.vendor.bluetooth.leaudio_mode]: [ums-cg]
[persist.vendor.connsys.bt_fw_ver]: [t-neptune-sp-soc7_0-2204-tc16sp-pr5-PICHON_SOC7_0_E1_ASIC_BT-20220704175159]
[persist.vendor.connsys.bt_fw_ver_local]: [t-neptune-sp-soc7_0-2204-tc16sp-pr5-PICHON_SOC7_0_E1_ASIC-20220309180003]
[persist.vendor.connsys.chipid]: [0x6895]
[persist.vendor.connsys.coredump.mode]: [2]
[persist.vendor.connsys.dynamic.dump]: [0]
[persist.vendor.connsys.fm_chipid]: [mt6635]
[persist.vendor.connsys.patch.version]: [-1]
[persist.vendor.enable.cpulimit]: [false]
[persist.vendor.enable.hans]: [true]
[persist.vendor.enable.preload]: [true]
[persist.vendor.gsm.netin.period]: [N/A]
[persist.vendor.ims_support]: [1]
[persist.vendor.md_c2k_cap_dep_check]: [0]
[persist.vendor.mims_support]: [2]
[persist.vendor.mtk.aee.mode]: [4]
[persist.vendor.mtk.aeev.mode]: [4]
[persist.vendor.mtk.provision.int.01]: [26,0;27,1;66,0;]
[persist.vendor.mtk.vilte.enable]: [0]
[persist.vendor.mtk.vinr.enable]: [0]
[persist.vendor.mtk.volte.enable]: [0]
[persist.vendor.mtk.vonr.enable]: [0]
[persist.vendor.mtk.wfc.enable]: [0]
[persist.vendor.mtk_ct_volte_support]: [3]
[persist.vendor.mtk_dynamic_ims_switch]: [1]
[persist.vendor.mtk_wfc_support]: [1]
[persist.vendor.oplus.update_status]: [Initiated]
[persist.vendor.oplus.verify_result]: []
[persist.vendor.pms_removable]: [1]
[persist.vendor.radio.airplane.mode.on]: [false]
[persist.vendor.radio.c_capability_slot]: [1]
[persist.vendor.radio.fd.counter]: [150]
[persist.vendor.radio.fd.off.counter]: [50]
[persist.vendor.radio.fd.off.r8.counter]: [50]
[persist.vendor.radio.fd.r8.counter]: [150]
[persist.vendor.radio.flashless.fsm]: [0]
[persist.vendor.radio.flashless.fsm_cst]: [0]
[persist.vendor.radio.flashless.fsm_rw]: [0]
[persist.vendor.radio.jp_mode_timer1_delay_timer]: [0]
[persist.vendor.radio.jp_mode_timer1_delay_timer.2]: [0]
[persist.vendor.radio.jp_mode_timer2_delay_timer]: [0]
[persist.vendor.radio.jp_mode_timer2_delay_timer.2]: [0]
[persist.vendor.radio.m_rftype]: [1]
[persist.vendor.radio.msimmode]: [dsds]
[persist.vendor.radio.mtk_dsbp_support]: [3]
[persist.vendor.radio.mtk_ps2_rat]: [N/L/W/G]
[persist.vendor.radio.mtk_ps3_rat]: [G]
[persist.vendor.radio.nitz_oper_code]: [46001]
[persist.vendor.radio.nitz_oper_lname]: [4E2D56FD8054901A]
[persist.vendor.radio.nitz_oper_sname]: [4E2D56FD8054901A]
[persist.vendor.radio.nr_display_rule]: [1]
[persist.vendor.radio.nr_display_rule.2]: [1]
[persist.vendor.radio.oem_urc_enable]: [1]
[persist.vendor.radio.pendcapswt]: [-1]
[persist.vendor.radio.rilj_nw_type1]: [27]
[persist.vendor.radio.sim.mode]: [3]
[persist.vendor.radio.simswitch]: [1]
[persist.vendor.radio.smart.data.switch]: [1]
[persist.vendor.radio.volte_state]: [0]
[persist.vendor.ss.modem_version]: [1]
[persist.vendor.ssr.enable_ramdumps]: [0]
[persist.vendor.sys.pq.adl.idx]: [1]
[persist.vendor.sys.pq.bluelight.default]: [128]
[persist.vendor.sys.pq.disp.aal.bypass]: [0]
[persist.vendor.sys.pq.disp.c3d.bypass]: [0]
[persist.vendor.sys.pq.disp.ccorr.bypass]: [0]
[persist.vendor.sys.pq.disp.ccorr.silky.brightness]: [1]
[persist.vendor.sys.pq.disp.color.bypass]: [0]
[persist.vendor.sys.pq.disp.dither.bypass]: [0]
[persist.vendor.sys.pq.disp.dither.color.detect]: [0]
[persist.vendor.sys.pq.disp.gamma.bypass]: [0]
[persist.vendor.sys.pq.disp.gamma.silky.brightness]: [0]
[persist.vendor.sys.pq.disp.silky.brightness]: [1]
[persist.vendor.sys.pq.disp.tdshp.bypass]: [0]
[persist.vendor.sys.pq.hdr.en]: [1]
[persist.vendor.sys.pq.hdr_vivid.en]: [1]
[persist.vendor.sys.pq.hfg.en]: [2]
[persist.vendor.sys.pq.iso.shp.en]: [1]
[persist.vendor.sys.pq.mdp.ccorr.en]: [0]
[persist.vendor.sys.pq.mdp.color.dbg]: [1]
[persist.vendor.sys.pq.mdp.color.idx]: [1]
[persist.vendor.sys.pq.mdp.dre.en]: [1]
[persist.vendor.sys.pq.mdp.hdrvivid.vp.dre.en]: [1]
[persist.vendor.sys.pq.mdp.hdrvp.dre.en]: [1]
[persist.vendor.sys.pq.mdp.vp.aispq.en]: [1]
[persist.vendor.sys.pq.mdp.vp.dre.en]: [1]
[persist.vendor.sys.pq.modeindex]: [0]
[persist.vendor.sys.pq.picmode]: [0]
[persist.vendor.sys.pq.shp.strength]: [persist.vendor.sys.pq.shp.strength]
[persist.vendor.sys.pq.ultrares.en]: [1]
[persist.vendor.sys.pq.ultrares.strength]: [0]
[persist.vendor.vilte_support]: [1]
[persist.vendor.viwifi_support]: [1]
[persist.vendor.volte_support]: [1]
[persist.version.confidential]: [false]
[pm.dexopt.ab-ota]: [speed-profile]
[pm.dexopt.bg-dexopt]: [speed-profile]
[pm.dexopt.boot-after-ota]: [verify]
[pm.dexopt.cmdline]: [verify]
[pm.dexopt.first-boot]: [verify]
[pm.dexopt.inactive]: [verify]
[pm.dexopt.install]: [speed-profile]
[pm.dexopt.install-bulk]: [speed-profile]
[pm.dexopt.install-bulk-downgraded]: [verify]
[pm.dexopt.install-bulk-secondary]: [verify]
[pm.dexopt.install-bulk-secondary-downgraded]: [extract]
[pm.dexopt.install-fast]: [skip]
[pm.dexopt.post-boot]: [extract]
[pm.dexopt.shared]: [speed]
[ril.csim.mlpl_mspl_ver0]: [,]
[ril.csim.mlpl_mspl_ver1]: [,]
[ril.ecclist]: [110,119,120,122,000,08,999,118,112,911]
[ril.ecclist1]: [110,119,120,122,000,08,999,118,112,911]
[ro.actionable_compatible_property.enabled]: [true]
[ro.adb.secure]: [1]
[ro.allow.mock.location]: [0]
[ro.apex.updatable]: [true]
[ro.appsflyer.preinstall.path]: [/data/etc/appchannel/pre_install.appsflyer]
[ro.audio.silent]: [0]
[ro.audio.usb.period_us]: [16000]
[ro.base_build]: [noah]
[ro.baseband]: [unknown]
[ro.board.first_api_level]: [31]
[ro.board.platform]: [mt6895]
[ro.boot.atm]: [disabled]
[ro.boot.avb_version]: [1.2]
[ro.boot.boot_devices]: [bootdevice,soc/112b0000.ufshci,112b0000.ufshci]
[ro.boot.bootreason]: [PowerKey]
[ro.boot.dtb_idx]: [0]
[ro.boot.dtbo_idx]: [1]
[ro.boot.dynamic_partitions]: [true]
[ro.boot.flash.locked]: [1]
[ro.boot.force_normal_boot]: [1]
[ro.boot.hardware]: [mt6895]
[ro.boot.mode]: [normal]
[ro.boot.opt_sim_count]: [2]
[ro.boot.prjname]: [21641]
[ro.boot.product.hardware.sku]: [dsds]
[ro.boot.serialno]: [DMDAOZIRXGS45HUK]
[ro.boot.slot_suffix]: [_b]
[ro.boot.vbmeta.avb_version]: [1.2]
[ro.boot.vbmeta.device_state]: [locked]
[ro.boot.vbmeta.digest]: [530c43fda09956de78d27791f80edbd8d6fe01df1f009a8f7aa9d1281d150e9c]
[ro.boot.vbmeta.hash_alg]: [sha256]
[ro.boot.vbmeta.size]: [11136]
[ro.boot.verifiedbootstate]: [green]
[ro.boot.veritymode]: [enforcing]
[ro.boot.veritymode.managed]: [yes]
[ro.bootimage.build.date]: [Fri Sep 16 13:15:28 CST 2022]
[ro.bootimage.build.date.utc]: [1663305328]
[ro.bootimage.build.fingerprint]: [realme/RMX3560/RE5489:12/SP1A.210812.016/S.202209161301:user/release-keys]
[ro.bootimage.build.id]: [SGR1.220215.002.C5]
[ro.bootimage.build.tags]: [release-keys]
[ro.bootimage.build.type]: [user]
[ro.bootimage.build.version.incremental]: [S.202209161301]
[ro.bootimage.build.version.release]: [12]
[ro.bootimage.build.version.release_or_codename]: [12]
[ro.bootimage.build.version.sdk]: [31]
[ro.bootloader]: [unknown]
[ro.bootmode]: [normal]
[ro.build.ab_update]: [true]
[ro.build.characteristics]: [default]
[ro.build.date]: [Fri Sep 16 12:39:12 CST 2022]
[ro.build.date.Ymd]: [220916]
[ro.build.date.YmdHM]: [202209161244]
[ro.build.date.utc]: [1663303152]
[ro.build.date.ymd]: [220916]
[ro.build.description]: [sys_mssi_64_cn_armv82-user 12 SP1A.210812.016 1663303152366 release-keys]
[ro.build.device_family]: [OPMT6895]
[ro.build.display.id]: [RMX3560_11_A.45]
[ro.build.display.id_ims]: [RMX3560_11_A.45_220916]
[ro.build.display.ota]: [RMX3560_11_A.45]
[ro.build.fingerprint]: [realme/RMX3560/RE5489:12/SP1A.210812.016/S.202209161301:user/release-keys]
[ro.build.flavor]: [sys_mssi_64_cn_armv82-user]
[ro.build.host]: [dg02-pool03-kvm247]
[ro.build.id]: [SP1A.210812.016]
[ro.build.kernel.id]: [5.10.66]
[ro.build.keystore.path]: [/sdcard/.lii/]
[ro.build.master.date]: [202209161244]
[ro.build.oplus_ext_partitions]: [my_product my_engineering my_stock my_heytap my_region my_carrier my_preload my_bigball my_company]
[ro.build.oplus_nv_id]: [10010111]
[ro.build.product]: [RMX3560]
[ro.build.release_type]: [true]
[ro.build.tags]: [release-keys]
[ro.build.type]: [user]
[ro.build.user]: [root]
[ro.build.version.all_codenames]: [REL]
[ro.build.version.base_os]: []
[ro.build.version.codename]: [REL]
[ro.build.version.incremental]: [S.202209161301]
[ro.build.version.min_supported_target_sdk]: [23]
[ro.build.version.oplusrom]: [V12.1]
[ro.build.version.oplusrom.confidential]: [V12.1]
[ro.build.version.opporom]: [V12.1]
[ro.build.version.ota]: [RMX3560_11.A.45_0450_202209161351]
[ro.build.version.preview_sdk]: [0]
[ro.build.version.preview_sdk_fingerprint]: [REL]
[ro.build.version.realmeui]: [V3.0]
[ro.build.version.release]: [12]
[ro.build.version.release_or_codename]: [12]
[ro.build.version.sdk]: [31]
[ro.build.version.security_patch]: [2022-09-05]
[ro.camera.hfr.enable]: [1]
[ro.camera.notify_nfc]: [1]
[ro.camera.portrait.blur.level.enable]: [1]
[ro.camera.sound.forced]: [0]
[ro.camera.temperature.limit]: [440]
[ro.camera.videoeis.enable]: [1]
[ro.com.android.dataroaming]: [false]
[ro.com.baidu.searchbox]: [/data/etc/appchannel/]
[ro.com.google.clientidbase]: [android-oppo]
[ro.com.google.gmsversion]: [12_202207]
[ro.commonsoft.ota]: [RE5489]
[ro.config.alarm_alert]: [ringtone_008.ogg]
[ro.config.calendar_sound]: [notification_003.ogg]
[ro.config.notification_sim2]: [notification_000.ogg]
[ro.config.notification_sms]: [notification_000.ogg]
[ro.config.notification_sound]: [notification_000.ogg]
[ro.config.per_app_memcg]: [false]
[ro.config.ringtone]: [ringtone_000.ogg]
[ro.config.ringtone_sim2]: [ringtone_000.ogg]
[ro.config.vc_call_vol_steps]: [9]
[ro.control_privapp_permissions]: [enforce]
[ro.cp_system_other_odex]: [1]
[ro.crypto.metadata.enabled]: [true]
[ro.crypto.state]: [encrypted]
[ro.crypto.type]: [file]
[ro.crypto.uses_fs_ioc_add_encryption_key]: [true]
[ro.crypto.volume.filenames_mode]: [aes-256-cts]
[ro.dalvik.vm.native.bridge]: [0]
[ro.debuggable]: [0]
[ro.density.screenzoom.fdh]: [380,420,480,510,540]
[ro.density.screenzoom.qdh]: [500,560,640,680,720]
[ro.display.brightness.hbm_xs]: [9000,10000,30000,40000,60000,80000]
[ro.display.brightness.hbm_xs_max]: [10100,30100,40100,60100,80100,500000]
[ro.display.brightness.hbm_xs_min]: [9000,10000,30000,40000,60000,80000]
[ro.display.underscreen.lightsensor.screenshot.period]: [50]
[ro.display.underscreen.lightsensor.support]: [1]
[ro.dumpenvironment.time]: [10000]
[ro.frp.pst]: [/dev/block/by-name/frp]
[ro.gfx.driver.0]: [com.mediatek.mt6895.gamedriver]
[ro.hardware]: [mt6895]
[ro.hardware.egl]: [meow]
[ro.hardware.gatekeeper]: [trustonic]
[ro.hardware.gralloc]: [common]
[ro.hardware.hwcomposer]: [mtk_common]
[ro.hardware.vulkan]: [mali]
[ro.hwui.use_vulkan]: []
[ro.iorapd.enable]: [false]
[ro.kernel.zio]: [38,108,105,16]
[ro.lcd.display.screen.underlightsensor.region]: [773,30,808,65]
[ro.lmk.kill_timeout_ms]: [100]
[ro.lmk.limit_killing_array_kb]: [1572864,1572864,655360,491520]
[ro.lmk.psi_complete_stall_ms]: [150]
[ro.lmk.psi_complete_stall_ms_dup]: [70]
[ro.lmk.swap_free_low_percentage]: [40]
[ro.lmk.swap_util_max]: [90]
[ro.lmk.thrashing_limit]: [10]
[ro.lmk.thrashing_limit_decay]: [50]
[ro.logd.kernel]: [false]
[ro.mediatek.platform]: [MT6895]
[ro.mediatek.rsc_name]: [default]
[ro.mediatek.version.branch]: [alps-mp-s0.mssi1.tc16sp-pr6]
[ro.mediatek.version.release]: [RMX3560domestic_11_A.45_2022091613510000]
[ro.mediatek.wlan.p2p]: [1]
[ro.mediatek.wlan.wsc]: [1]
[ro.mtk_perf_fast_start_win]: [1]
[ro.mtk_perf_response_time]: [1]
[ro.mtk_perf_simple_start_win]: [1]
[ro.odm.build.date]: [Fri Sep 16 13:15:28 CST 2022]
[ro.odm.build.date.utc]: [1663305328]
[ro.odm.build.fingerprint]: [realme/RMX3560/RE5489:12/SP1A.210812.016/S.202209161301:user/release-keys]
[ro.odm.build.media_performance_class]: [30]
[ro.odm.build.version.incremental]: [S.202209161301]
[ro.opengles.version]: [196610]
[ro.oplus.audio.detection.support]: [1]
[ro.oplus.audio.effect.type]: [dolby]
[ro.oplus.audio.support.ocar]: [1]
[ro.oplus.camera.speechassist]: [true]
[ro.oplus.camera.video.beauty.switch]: [oplus.switch.video.beauty]
[ro.oplus.camera.video_beauty.prefix]: [oplus.video.beauty.]
[ro.oplus.components.list]: [base,my_product,my_stock,my_heytap,my_bigball,my_carrier,my_region,my_manifest]
[ro.oplus.display.brightness.silky.default_brightness]: [3839]
[ro.oplus.display.brightness.silky.global.btn]: [3899]
[ro.oplus.display.brightness.silky.hbm_ys]: [8191,8850,9300,9650,10000,10239]
[ro.oplus.display.brightness.silky.min_light_in_dnm]: [1434,1434]
[ro.oplus.display.brightness.silky.normal_max_brightness]: [8191]
[ro.oplus.display.brightness.silky.normal_min_brightness]: [12]
[ro.oplus.display.brightness.silky.xs]: [0,2,4,6,8,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,95,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,700,900,1100,1300,1500,1700,1900,2000,2500,2800,3100,3400,3700,4000,4500,5000]
[ro.oplus.display.brightness.silky.ys]: [212,1434,1912,2141,2368,2603,2975,3155,3349,3477,3592,3633,3715,3778,3856,3939,4007,4078,4139,4173,4212,4246,4288,4352,4396,4449,4522,4570,4627,4653,4676,4691,4706,4711,4717,4738,4757,4765,4784,4799,4804,4811,5155,5475,5783,5912,6087,6308,6471,6584,6688,6889,7081,7319,7544,7805,8017,8191]
[ro.oplus.display.colormode.cinema]: [101]
[ro.oplus.display.colormode.colorful]: [100]
[ro.oplus.display.colormode.soft]: [101]
[ro.oplus.display.colormode.vivid]: [102]
[ro.oplus.display.density.screenzoom.fdh]: [380,420,440,480,540]
[ro.oplus.display.density.screenzoom.qdh]: [476,560,588,612,666]
[ro.oplus.display.fingerprint.dimlayer.alpha]: [255,238,237,235,232,223,216,209,196,174,152,129,123,112,100,85,78,68,55,38]
[ro.oplus.display.fingerprint.dimlayer.brightness]: [0,20,35,600,970,1320,1646,1980,2556,3316,4156,4863,5493,5915,6303,6665,7112,7528,7918,8191]
[ro.oplus.display.rc.size]: [95,95,95,95]
[ro.oplus.display.screen.heteromorphism]: [0,0:220,124]
[ro.oplus.display.screenhole.positon]: [511,33:569,91]
[ro.oplus.display.set.fingerprint.dimlayer.alpha]: [1]
[ro.oplus.fusionlight]: [true]
[ro.oplus.image.base.version]: [21641.1.12.2022091612294310758444.34a63a13]
[ro.oplus.image.my_bigball.date]: [2022-09-15 20:38:06]
[ro.oplus.image.my_bigball.date.utc]: [1663245486]
[ro.oplus.image.my_bigball.type]: [domestic_21641_Realme_CN_ALLNET]
[ro.oplus.image.my_bigball.version]: [21641.0.0.2022091520301110735412.938d2202]
[ro.oplus.image.my_bigball.version_name]: [my_bigball21641.0.0]
[ro.oplus.image.my_carrier.date]: [2022-02-28 00:30:30]
[ro.oplus.image.my_carrier.date.utc]: [1645979430]
[ro.oplus.image.my_carrier.type]: [ALLNET_all]
[ro.oplus.image.my_carrier.version]: [12.1.02311.202202280000125684911.460b3765]
[ro.oplus.image.my_carrier.version_name]: [X00CNQW00]
[ro.oplus.image.my_company.type]: [empty]
[ro.oplus.image.my_company.version]: [version_stub.7b5f97af]
[ro.oplus.image.my_engineering.date]: [2022-09-16 13:18:44]
[ro.oplus.image.my_engineering.date.utc]: [1663305524]
[ro.oplus.image.my_engineering.type]: [release]
[ro.oplus.image.my_engineering.version]: [version_stub.8435a050]
[ro.oplus.image.my_heytap.date]: [2022-08-02 09:55:58]
[ro.oplus.image.my_heytap.date.utc]: [1659405358]
[ro.oplus.image.my_heytap.type]: [domestic]
[ro.oplus.image.my_heytap.version]: [7.1.7.0.202208020951179589125.6cb0c225]
[ro.oplus.image.my_manifest.type]: [x]
[ro.oplus.image.my_manifest.version]: [RMX3560_11.A.45_0450_202209161351.97.8f14e551]
[ro.oplus.image.my_preload.date]: [2022-03-13 02:08:27]
[ro.oplus.image.my_preload.date.utc]: [1647108507]
[ro.oplus.image.my_preload.type]: [domestic_21641_Realme_CN_ALLNET]
[ro.oplus.image.my_preload.version]: [0.0.1.202203130200126015877.ef4be9f8]
[ro.oplus.image.my_product.date]: [2022-09-15 20:38:07]
[ro.oplus.image.my_product.date.utc]: [1663245487]
[ro.oplus.image.my_product.type]: [21641]
[ro.oplus.image.my_product.version]: [21641.7.12.2022091520301110735410.9aa2c609]
[ro.oplus.image.my_region.date]: [2022-07-07 04:49:09]
[ro.oplus.image.my_region.date.utc]: [1657140549]
[ro.oplus.image.my_region.type]: [CN_all]
[ro.oplus.image.my_region.version]: [21642.4.20.202207070203058913241.09a413b0]
[ro.oplus.image.my_region.version_name]: [21642.4.20-null]
[ro.oplus.image.my_stock.date]: [2022-09-09 16:19:53]
[ro.oplus.image.my_stock.date.utc]: [1662711593]
[ro.oplus.image.my_stock.type]: [domestic_Realme]
[ro.oplus.image.my_stock.version]: [10.2.7.4.2022090916151410582824.2ea62639]
[ro.oplus.image.odm.type]: [21641]
[ro.oplus.image.odm.version]: [version_stub.a40da25d]
[ro.oplus.image.system.version]: [.e3bb0e16]
[ro.oplus.image.system_ext.area]: [domestic]
[ro.oplus.image.system_ext.brand]: [realme]
[ro.oplus.image.system_ext.date]: [2022-09-16 13:14:15]
[ro.oplus.image.system_ext.date.utc]: [1663305255]
[ro.oplus.image.system_ext.version]: [.e18008d8]
[ro.oplus.lcd.display.screen.underlightsensor.region]: [773,30,808,65]
[ro.oplus.mtk_fdd_guard_min_offset]: [15]
[ro.oplus.mtk_fdd_guard_offset]: [25]
[ro.oplus.mtk_fdd_pwr]: [15]
[ro.oplus.mtk_gps_mpe]: [1]
[ro.oplus.mtk_hybrid_iso]: [25]
[ro.oplus.mtk_hybrid_rssi]: [-70]
[ro.oplus.nfc.support.encryption_card]: [true]
[ro.oplus.pipeline.carrier]: [ALLNET]
[ro.oplus.pipeline.region]: [CN]
[ro.oplus.pipeline_key]: [ALLNET]
[ro.oplus.preload.custom]: [2.0.39_CN_ALLNET]
[ro.oplus.region.custom]: [2.0.90_CN_ALLNET]
[ro.oplus.screenhole.border]: [13]
[ro.oplus.server_url_1]: [https://newds-api-cn-01.allawntech.com/autotime/dateandtime.xml?number=]
[ro.oplus.server_url_2]: [https://newds-api-cn-02.allawntech.com/autotime/dateandtime.xml?number=]
[ro.oplus.system.camera.flashlight]: [com.oplus.motor.flashlight]
[ro.oplus.system.camera.name]: [com.oplus.camera]
[ro.oplus.theme.version]: [12000]
[ro.oplus.version.base]: [21641.1.12.2022091612294310758444.34a63a13]
[ro.oplus.version.my_bigball]: [21641.0.0.2022091520301110735412.938d2202]
[ro.oplus.version.my_carrier]: [12.1.02311.202202280000125684911.460b3765]
[ro.oplus.version.my_company]: [version_stub.60f20822]
[ro.oplus.version.my_heytap]: [7.1.7.0.202208020951179589125.6cb0c225]
[ro.oplus.version.my_manifest]: [RMX3560_11.A.45_0450_202209161351.97.8f14e551]
[ro.oplus.version.my_preload]: [0.0.1.2022091602043010744831.c05835b2]
[ro.oplus.version.my_product]: [21641.7.12.2022091520301110735410.9aa2c609]
[ro.oplus.version.my_region]: [21642.4.20.202207070203058913241.09a413b0]
[ro.oplus.version.my_stock]: [10.2.7.4.2022090916151410582824.2ea62639]
[ro.oppo.appautoresolution.default]: [1]
[ro.oppo.screen.aod.min]: [1]
[ro.organization_owned]: [false]
[ro.postinstall.fstab.prefix]: [/system]
[ro.preinstall.path]: [/data/etc/appchannel]
[ro.product.ab_ota_partitions]: [apusys,audio_dsp,boot,ccu,cdt_engineering,dpm,dtbo,gpueb,gz,lk,mcf_ota,mcupm,md1img,mvpu_algo,my_bigball,my_carrier,my_company,my_engineering,my_heytap,my_manifest,my_preload,my_product,my_region,my_stock,odm,pi_img,preloader_raw,product,scp,spmfw,sspm,system,system_ext,tee,vbmeta,vbmeta_system,vbmeta_vendor,vcp,vendor,vendor_boot]
[ro.product.authentication]: [2022CP1475]
[ro.product.board]: [k6895v1_64]
[ro.product.bootimage.brand]: [realme]
[ro.product.bootimage.device]: [RE5489]
[ro.product.bootimage.manufacturer]: [realme]
[ro.product.bootimage.model]: [RMX3560]
[ro.product.bootimage.name]: [RMX3560]
[ro.product.bootreg.disable.command]: [true]
[ro.product.brand]: [realme]
[ro.product.brand.sub]: [realme]
[ro.product.brand.ui]: [realmeUI]
[ro.product.build.date]: [Fri Sep 16 12:39:12 CST 2022]
[ro.product.build.date.utc]: [1663303152]
[ro.product.build.fingerprint]: [oplus/ossi/ossi:12/SP1A.210812.016/1663303152366:user/release-keys]
[ro.product.build.id]: [SP1A.210812.016]
[ro.product.build.tags]: [release-keys]
[ro.product.build.type]: [user]
[ro.product.build.version.incremental]: [1663303152366]
[ro.product.build.version.release]: [12]
[ro.product.build.version.release_or_codename]: [12]
[ro.product.build.version.sdk]: [31]
[ro.product.cpu.abi]: [arm64-v8a]
[ro.product.cpu.abilist]: [arm64-v8a,armeabi-v7a,armeabi]
[ro.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.product.cpu.abilist64]: [arm64-v8a]
[ro.product.cuptsm]: [REALME|ESE|01|02]
[ro.product.device]: [RE5489]
[ro.product.first_api_level]: [31]
[ro.product.hw]: [21641]
[ro.product.locale]: [zh-CN]
[ro.product.manufacturer]: [realme]
[ro.product.model]: [RMX3560]
[ro.product.name]: [RMX3560]
[ro.product.odm.brand]: [realme]
[ro.product.odm.device]: [RE5489]
[ro.product.odm.manufacturer]: [realme]
[ro.product.odm.model]: [RMX3560]
[ro.product.odm.name]: [RMX3560]
[ro.product.oplus.cpuinfo]: [MT6895T]
[ro.product.oplus.wlan.ko]: [/vendor/lib/modules/qca_cld3_wlan.ko]
[ro.product.product.brand]: [oplus]
[ro.product.product.device]: [ossi]
[ro.product.product.manufacturer]: [oplus]
[ro.product.product.model]: [ossi]
[ro.product.product.name]: [ossi]
[ro.product.supported_versions]: [21641]
[ro.product.system.brand]: [oplus]
[ro.product.system.device]: [ossi]
[ro.product.system.manufacturer]: [oplus]
[ro.product.system.model]: [ossi]
[ro.product.system.name]: [ossi]
[ro.product.system_ext.brand]: [oplus]
[ro.product.system_ext.device]: [ossi]
[ro.product.system_ext.manufacturer]: [oplus]
[ro.product.system_ext.model]: [ossi]
[ro.product.system_ext.name]: [ossi]
[ro.product.vendor.brand]: [realme]
[ro.product.vendor.device]: [RE5489]
[ro.product.vendor.manufacturer]: [realme]
[ro.product.vendor.model]: [RMX3560]
[ro.product.vendor.name]: [RMX3560]
[ro.product.vendor_dlkm.brand]: [oplus]
[ro.product.vendor_dlkm.device]: [ossi]
[ro.product.vendor_dlkm.manufacturer]: [oplus]
[ro.product.vendor_dlkm.model]: [ossi]
[ro.product.vendor_dlkm.name]: [ossi]
[ro.product.vndk.version]: [31]
[ro.property_service.version]: [2]
[ro.revision]: [0]
[ro.rom.featrue]: [allnet]
[ro.runtime.agingbootcheck]: [1]
[ro.secure]: [1]
[ro.separate.soft]: [21641]
[ro.serialno]: [DMDAOZIRXGS45HUK]
[ro.sf.lcd_density]: [480]
[ro.soc.manufacturer]: [Mediatek]
[ro.soc.model]: [MT6895]
[ro.support_one_handed_mode]: [true]
[ro.surface_flinger.force_hwc_copy_for_virtual_displays]: [true]
[ro.surface_flinger.has_wide_color_display]: [true]
[ro.surface_flinger.max_frame_buffer_acquired_buffers]: [6]
[ro.surface_flinger.primary_display_orientation]: [ORIENTATION_0]
[ro.surface_flinger.protected_contents]: [true]
[ro.surface_flinger.uclamp.min]: [150]
[ro.sys.custom.apexcontroller]: [true]
[ro.sys.custom.permissioncontroller]: [true]
[ro.sys.manifest.test_version]: [x]
[ro.sys.reserve.integrate]: [true]
[ro.sys.usb.bicr]: [no]
[ro.sys.usb.charging.only]: [yes]
[ro.sys.usb.mtp.whql.enable]: [0]
[ro.sys.usb.storage.type]: [mtp]
[ro.system.build.date]: [Fri Sep 16 12:39:12 CST 2022]
[ro.system.build.date.utc]: [1663303152]
[ro.system.build.fingerprint]: [oplus/ossi/ossi:12/SP1A.210812.016/1663303152366:user/release-keys]
[ro.system.build.id]: [SP1A.210812.016]
[ro.system.build.tags]: [release-keys]
[ro.system.build.type]: [user]
[ro.system.build.version.incremental]: [1663303152366]
[ro.system.build.version.release]: [12]
[ro.system.build.version.release_or_codename]: [12]
[ro.system.build.version.sdk]: [31]
[ro.system.product.cpu.abilist]: [arm64-v8a,armeabi-v7a,armeabi]
[ro.system.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.system.product.cpu.abilist64]: [arm64-v8a]
[ro.system_ext.build.date]: [Fri Sep 16 12:39:12 CST 2022]
[ro.system_ext.build.date.utc]: [1663303152]
[ro.system_ext.build.fingerprint]: [oplus/ossi/ossi:12/SP1A.210812.016/1663303152366:user/release-keys]
[ro.system_ext.build.id]: [SP1A.210812.016]
[ro.system_ext.build.tags]: [release-keys]
[ro.system_ext.build.type]: [user]
[ro.system_ext.build.version.incremental]: [1663303152366]
[ro.system_ext.build.version.release]: [12]
[ro.system_ext.build.version.release_or_codename]: [12]
[ro.system_ext.build.version.sdk]: [31]
[ro.telephony.default_network]: [33,33,33,33]
[ro.telephony.iwlan_operation_mode]: [AP-assisted]
[ro.trackingId.com.daraz.appid]: [/data/etc/appchannel/darazChannel.txt]
[ro.trackingId.com.lzd.appid]: [/data/etc/appchannel/lazadaChannel.txt]
[ro.trackingId.com.shop.appid]: [/data/etc/appchannel/shopChannel.txt]
[ro.treble.enabled]: [true]
[ro.vendor.aee.convert64]: [1]
[ro.vendor.build.date]: [Fri Sep 16 13:15:28 CST 2022]
